state,populacao,rmse,beta,gamma,R0
TOTAL,217026005,1283795.7597731594,0.4117789321369952,0.19982807651552603,2.060666045119046
SP,45919049,136014.9473665779,0.3911820450346381,0.2000999469045,1.954933277525227
RJ,17264943,28243.807437440577,0.40899881103578595,0.20007366694535003,2.044241090195561
ES,4018650,68.81037000982698,0.3386225700678317,0.200075554303005,1.692473482067698
BA,14873064,808.3098664290076,0.37073418913330397,0.20004204820424648,1.8532813099112933
DF,3015268,9642.776519586476,0.38681617563450604,0.2000923325872124,1.9331883967413297
AL,3337357,2.291769696656668,0.20992497802905122,0.12221667868633797,1.7176459079518231
MG,21168791,4434.025705866568,0.3930847464360564,0.2000999632968393,1.9644418717505352
RS,11377239,7621.736577472217,0.40754936500117495,0.20008571611935438,2.036873860391239
PE,9557071,291.3206046084338,0.316557405447157,0.149584991928267,2.1162377412766187
PR,11433957,223.64767982379541,0.3394695261230082,0.19975281165417455,1.6994480493757482
SC,7164788,3873.0327459608357,0.3865090514587866,0.20009999988594546,1.9315794686611296
GO,7018354,24.00457473685353,0.3092071359618638,0.20009999883574553,1.545263057276078
RN,3506853,290.38459181051707,0.39139025961802393,0.20009998034158138,1.9559735035950518
AM,4144597,643.4028216639616,0.4340074093037739,0.20009936127982922,2.1689594935629786
MS,2778986,50.10153980515256,0.3179678995680051,0.20009999701551764,1.5890449990528828
SE,2298696,17.325900355685693,0.31462658882971484,0.20009999939960293,1.5723467754809957
CE,9132078,15881.56352980331,0.4371985639288992,0.20009983061735714,2.1849022189575784
AC,881935,61.07391727547692,0.2969131032232841,0.2000994697477172,1.4838275363629314
TO,1572866,4.482607804509471,0.3040899388900947,0.20009999973284243,1.5196898515546795
PA,8602865,20.537537661001203,0.41419523696597166,0.20009590433013397,2.0699835828853335
PB,4018127,16.24037875475513,0.3486703547522798,0.2000999995530098,1.742480537387064
PI,3273227,1.6916363134651753,0.25657195695777146,0.20009751456394487,1.2822346020483886
RO,1777225,1.33955249241852,0.3002603558730817,0.20009984239518375,1.5005526854943128
AP,845731,4.377422398342164,0.24783267554452,0.04751906118772535,5.215437118285023
MA,7075181,112.77196658562269,0.4663075275247298,0.200099988217039,2.3303725886227844
MT,3484466,31.902350242402832,0.4129035604524637,0.20009997922868158,2.0634862734322543
RR,605761,20.287482638441205,0.343878020753154,0.20009999388445018,1.7185308908691417
